+-----------+-------------+-------------+-------------+-------------+-------------+
|  JIRA_ID  |   VCA-5.2   |  VCA-master |   VCA-4.0   |   VCA-5.1   |   VCA-5.0   |
| VRS-12123 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12125 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12124 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12127 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12126 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12129 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12128 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12552 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12553 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12554 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12555 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12556 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12557 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12086 |      -      | Needs merge |      -      | Needs merge |      -      |
| VRS-12085 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12081 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12088 |      -      | Needs merge | Needs merge |      -      |      -      |
| VRS-12328 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12334 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12335 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12331 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12332 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12333 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12235 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12234 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12237 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12236 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12231 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12230 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12233 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12232 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12239 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12238 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11991 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11990 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11993 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11994 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11996 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11999 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11998 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12349 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12341 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12343 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12342 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12345 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12347 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12346 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11902 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-11903 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11906 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12284 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12285 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12287 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12168 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12165 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12167 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12166 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12161 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12289 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12163 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12042 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12040 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12041 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12510 |      -      | Needs merge | Needs merge |      -      |      -      |
| VRS-12047 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12044 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12045 | Needs merge | Needs merge | Needs merge |      -      |      -      |
| VRS-12519 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12621 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12194 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12196 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12628 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12609 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12602 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12606 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12563 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12565 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12564 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12566 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12569 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12568 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12469 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12464 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12467 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12460 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12461 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12462 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12305 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12304 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12268 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12306 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12302 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12262 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12263 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12261 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12309 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12267 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12264 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12265 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11943 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11941 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12281 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-11890 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12008 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12009 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12006 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12007 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12004 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12005 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12002 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12001 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12132 | Needs merge | Needs merge |      -      | Needs merge |      -      |
| VRS-12641 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12642 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12135 | Needs merge | Needs merge |      -      | Needs merge |      -      |
| VRS-12525 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12524 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12138 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12526 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12521 |      -      | Needs merge |      -      |      -      |      -      |
| VRS-12522 | Needs merge | Needs merge |      -      |      -      |      -      |
| VRS-12018 | Needs merge | Needs merge |      -      |      -      |      -      |
+-----------+-------------+-------------+-------------+-------------+-------------+
